Date,Open,High,Low,Close,Adj Close,Volume
2014-03-20,11690.000000,11785.000000,11535.000000,11550.000000,10864.590820,662300
2014-03-24,11560.000000,12435.000000,11560.000000,12150.000000,11428.985352,1551100
2014-03-25,12100.000000,12325.000000,11675.000000,11710.000000,11015.097656,1751400
2014-03-26,11850.000000,12295.000000,11850.000000,12065.000000,11349.030273,1058200
2014-03-27,11995.000000,12000.000000,11360.000000,11785.000000,11178.296875,1350400
2014-03-28,11585.000000,12020.000000,11525.000000,11995.000000,11377.484375,759500
2014-03-31,12120.000000,12340.000000,12030.000000,12260.000000,11628.843750,673600
2014-04-01,12340.000000,12350.000000,12045.000000,12150.000000,11524.505859,623900
2014-04-02,12090.000000,12175.000000,11870.000000,12085.000000,11462.851563,739200
2014-04-03,12185.000000,12210.000000,11980.000000,12010.000000,11391.712891,616300
2014-04-04,12010.000000,12045.000000,11885.000000,11930.000000,11315.833008,419800
2014-04-07,11835.000000,11980.000000,11740.000000,11835.000000,11225.722656,609000
2014-04-08,11750.000000,11855.000000,11595.000000,11600.000000,11002.819336,547700
2014-04-09,11480.000000,11525.000000,11140.000000,11305.000000,10723.005859,899800
2014-04-10,11425.000000,11480.000000,11220.000000,11270.000000,10689.808594,443800
2014-04-11,11180.000000,11245.000000,11070.000000,11120.000000,10547.532227,496800
2014-04-14,11015.000000,11235.000000,11015.000000,11050.000000,10481.135742,450600
2014-04-15,11050.000000,11075.000000,10800.000000,10875.000000,10315.144531,650600
2014-04-16,10945.000000,11115.000000,10840.000000,11010.000000,10443.193359,869500
2014-04-17,11120.000000,11370.000000,11120.000000,11165.000000,10590.213867,575600
2014-04-18,11260.000000,11265.000000,10980.000000,11145.000000,10571.243164,395500
2014-04-21,11185.000000,11340.000000,11165.000000,11250.000000,10670.837891,306400
2014-04-22,11190.000000,11330.000000,11045.000000,11055.000000,10485.875977,291200
2014-04-23,11160.000000,11190.000000,11010.000000,11135.000000,10561.756836,427500
2014-04-24,11195.000000,11225.000000,10970.000000,11000.000000,10433.708008,614300
2014-04-25,10920.000000,11045.000000,10610.000000,10755.000000,10201.320313,976400
2014-04-28,10755.000000,10810.000000,10640.000000,10700.000000,10149.153320,399700
2014-04-30,10670.000000,10840.000000,10625.000000,10740.000000,10187.094727,570000
2014-05-01,10685.000000,10870.000000,10675.000000,10860.000000,10300.916016,442800
2014-05-02,10990.000000,11180.000000,10930.000000,10970.000000,10405.253906,630600
2014-05-07,10830.000000,10895.000000,10580.000000,10670.000000,10120.698242,823500
2014-05-08,10555.000000,10670.000000,10070.000000,10595.000000,10049.558594,1701000
2014-05-09,10595.000000,10930.000000,10525.000000,10805.000000,10248.749023,909900
2014-05-12,10675.000000,10920.000000,10655.000000,10715.000000,10163.381836,562000
2014-05-13,10900.000000,11080.000000,10840.000000,11035.000000,10466.906250,540500
2014-05-14,11180.000000,11270.000000,11080.000000,11160.000000,10585.471680,531900
2014-05-15,11000.000000,11200.000000,10960.000000,11160.000000,10585.471680,710500
2014-05-16,11065.000000,11125.000000,10930.000000,10980.000000,10414.738281,541700
2014-05-19,10900.000000,11160.000000,10800.000000,10990.000000,10424.223633,808700
2014-05-20,11100.000000,11395.000000,11085.000000,11295.000000,10713.520508,620500
2014-05-21,11145.000000,11300.000000,11145.000000,11230.000000,10651.867188,462000
2014-05-22,11400.000000,11550.000000,11310.000000,11495.000000,10903.226563,655800
2014-05-23,11580.000000,11865.000000,11545.000000,11590.000000,10993.334961,759900
2014-05-26,11710.000000,11870.000000,11680.000000,11855.000000,11244.693359,588400
2014-05-27,11790.000000,11940.000000,11765.000000,11805.000000,11197.268555,585500
2014-05-28,11815.000000,11905.000000,11715.000000,11745.000000,11140.354492,488000
2014-05-29,11630.000000,11880.000000,11630.000000,11810.000000,11202.009766,481100
2014-05-30,11820.000000,11845.000000,11740.000000,11770.000000,11164.068359,426100
2014-06-02,11775.000000,11945.000000,11730.000000,11835.000000,11225.722656,447900
2014-06-03,11980.000000,12000.000000,11900.000000,11920.000000,11306.345703,358600
2014-06-04,11990.000000,11990.000000,11825.000000,11960.000000,11344.287109,478200
2014-06-05,11925.000000,11985.000000,11840.000000,11900.000000,11287.375000,305500
2014-06-06,11865.000000,11900.000000,11690.000000,11780.000000,11173.553711,500000
2014-06-09,11880.000000,12015.000000,11880.000000,11990.000000,11372.743164,511400
2014-06-10,12095.000000,12330.000000,11830.000000,11890.000000,11277.891602,869900
2014-06-11,11865.000000,11940.000000,11555.000000,11690.000000,11088.187500,810600
2014-06-12,11500.000000,11515.000000,11380.000000,11515.000000,10922.195313,696500
2014-06-13,11525.000000,11775.000000,11515.000000,11730.000000,11126.127930,692200
2014-06-16,11820.000000,12110.000000,11710.000000,11930.000000,11315.833008,846600
2014-06-17,11930.000000,12180.000000,11900.000000,12090.000000,11467.594727,800000
